"title","full_address","email","affiliations","type","established","phone"
"Bal Viddya Mandir Basic School","Bulingtar-3, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Kanta Devi Basic School","Basanta, Madhuwan-4, Bardiya","N/A","N/A","Public","N/A","N/A"
"Mahendra Ratna Basic School","Mangala-4, Myagdi","N/A","N/A","Public","N/A","N/A"
"Sara Happy Kids","Biratnagar, Morang","N/A","N/A","Private","N/A","N/A"
"Gyansarobar Global English Boarding School","Ganesh Galli-16, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shree Ekhna Bhagawati Basic School","Chudari Pakhara, Jhimruk-7, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Janta Basic School Manogi Kutti","Manogikuti Sadha, Manarashiswa-4, Mahottari","N/A","N/A","Public","N/A","N/A"
"Vishwa Shanti Bauddha Shikshalaya Secondary School","Naya Baneshwor-31, Kathmandu","N/A","N/A","Religious","N/A","N/A"
"Tale Baba English Boarding School","Basbariya, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Nera Basic School","Nahagaun, Simta-2, Surkhet","N/A","N/A","Public","N/A","N/A"
"Bhairab Aadharbhut Vidyalaya","Damaune, Bungal-5, Bajhang","N/A","N/A","Public","N/A","N/A"
"Siddha Academy","Ghorahi, Dang","N/A","N/A","Private","N/A","N/A"
"Kaleshwary Basic School","Tumbewa, Tumbewa-1, Panchthar","N/A","N/A","Public","N/A","N/A"
"Saraswati Bhawan Secondary School","Harrabot, Panini-3, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Janajagriti Basic School Parase","Dudhauli-14, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Ojha Gaun Basic School","Mikwakhola-2, Taplejung","N/A","N/A","Public","N/A","N/A"
"Shree Jaleshwori Basic School","Indrawati-9, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Bal Bikash Basic School","Ratuwamai-3, Morang","N/A","N/A","Public","N/A","N/A"
"Bhimsen Adarsha Adharbhut Vidyalay","Hadiya, Chaudandigadhi-10, Udayapur","N/A","N/A","Public","N/A","N/A"
"Ganesh Basic School","Ayodhyapuri, Madi-9, Chitwan","N/A","N/A","Public","N/A","N/A"
"Boolma Basic (Primary) School","Bulma, Isma-6, Gulmi","N/A","N/A","Public","N/A","N/A"
"Bal Mandir Montessori","Dhangadhi, Kailali","N/A","N/A","Private","N/A","N/A"
"Bal Mandir Basic School","Jimipokhari, Phungling-4, Taplejung","N/A","N/A","Public","N/A","N/A"
"Madarsa Shajrul Uloom Al-Salafiya","Ramwapur, Lumbini Sanskritik-6, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Dhauldeu Basic School","Gadigaun, Thalara-4, Bajhang","N/A","N/A","Public","N/A","N/A"
"Shree Kailpal Basic School, Khakalai","Shivanath-5, Baitadi","N/A","N/A","Public","N/A","N/A"
"Madrassa Islamiya Basic School","Sugauli Birta, Birgunj-26, Parsa","N/A","N/A","Religious","N/A","N/A"
"Janata Basic School","Kshetritandi, Madhyabindu-10, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Amrita Bal Vidya Mandir","Pipaladi, Shuklaphanta-4, Kanchanpur","N/A","N/A","Private","N/A","N/A"
"Laxmi Secondary School","Shreemanjang, Dordi-3, Lamjung","N/A","N/A","Public","N/A","N/A"
"Mityal Basic School","Nisdi-4, Palpa","N/A","N/A","Public","N/A","N/A"
"Janata Pramary School","Kalipokhari, Swargadwari-9, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Moti Prakash Nepal National Primary School","Naubahini-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Janhit Basic School","Bakaiya-11, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Khunga Secondary School","Khalde, Phalelung-1, Panchthar","N/A","N/A","Public","N/A","N/A"
"Madarsa Mahaduttalimil Isalimee","Jigina, Sammarimai-4, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Madrassa Warsiya Nasirul Wulum Baba Gaun","Betahani, Duduwa-2, Banke","N/A","N/A","Religious","N/A","N/A"
"Bageshwori Basic School Chagarta","Chagarta, Thantikandh-5, Dailekh","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Basic School, Kamda","Kamda, Duhun-2, Darchula","N/A","N/A","Public","N/A","N/A"
"Balmaitri Bidhya Niiketan Basic School","Parashuram, Dadeldhura","N/A","N/A","Private","N/A","N/A"
"Rambeni Basic School","Gairigaun, Mahalaxmi-8, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Dipak Janajyoti Basic School","Dadagaun, Halesi Tuwachung-8, Khotang","N/A","N/A","Public","N/A","N/A"
"Buddheshwari Secondary School","Hattipaile, Tumbewa-4, Panchthar","N/A","N/A","Public","N/A","N/A"
"Bagarbari Basic School","Phungling-6, Taplejung","N/A","N/A","Public","N/A","N/A"
"Shree Mahadev Basic School","Mithila-11, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Shree Kalika Deurali Secondary School","Kalawa-Deurali, Harinas-5, Syangja","N/A","N/A","Public","N/A","N/A"
"Gyanjyoti Basic School, Kauchhe","Kamalamai-9, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Nawa Durga Basic School","Motiyaphata, Punarbas-8, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Karnali Advance Boarding School","Khandachakra, Kalikot","N/A","N/A","Private","N/A","N/A"
"Nabin Star Academy","Hasandaha, Pathari Shanishchare-5, Morang","N/A","N/A","Private","N/A","N/A"
"Advanced World Academy","Gauriganj, Jhapa","N/A","N/A","Private","N/A","N/A"
"Angel English School","Amlekhgunj, Hattisar, Jitpur Simara-21, Bara","N/A","N/A","Private","N/A","N/A"
"Parwati Basic School","Sandhikharka-1, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Madrassa Gausiya Ahle Sunnat Faijul Ohlun","Sukrauli, Mayadevi-3, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Step By Step Academy","Bardaghat-4, Parasi","N/A","N/A","Private","N/A","N/A"
"Madrassa Haphijul Uloom","Gauriganj-8, Jhapa","N/A","N/A","Religious","N/A","N/A"
"Bhawani Devi Basic School","Bayala, Kamalbazar-7, Achham","N/A","N/A","Public","N/A","N/A"
"Manilek Basic School, Nintola","Nintola, Nawadurga-1, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Krishna Basic School","Gharbir, Gangadev-2, Rolpa","N/A","N/A","Public","N/A","N/A"
"Wise Boarding School","Kamalbazar, Achham","N/A","N/A","Private","N/A","N/A"
"Madrassa Ahalesunnat Talimul Kuran Banjaregaun","Banjaregaun, Janaki-3, Banke","N/A","N/A","Religious","N/A","N/A"
"Pashupatinath Basic School","Jyamirkhali, Parashuram-11, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Mero Doshro Ghar Pre School","Imadol, Mahalaxmi, Lalitpur","N/A","N/A","Private","N/A","N/A"
"Madarasa Miftahul Ulum Alsalfiya Aadharbhut Vidyalayawa","Semari, Maharajgunj-9, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Flora Montessori School","Chandragiri, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Bidya Sagar Basic School Sungurkhali","Sundarkhali, Gurbhakot-7, Surkhet","N/A","N/A","Public","N/A","N/A"
"Three Star English Boarding School","Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shree Shobha Ramchandra Basic School","Prasauni, Bara","N/A","N/A","Public","N/A","N/A"
"Pashupati Primary School","Bangadagi, Kachankawal-7, Jhapa","N/A","N/A","Public","N/A","N/A"
"Bidhyapati English Boarding School","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Kanakamana Basic School","Bhimsen Thapa-1, Gorkha","N/A","N/A","Public","N/A","N/A"
"Shree Mahendra Jyoti Secondary School","Tisedi, Bheerkot-7, Syangja","N/A","N/A","Public","N/A","N/A"
"Siraha Morning Star English Boarding School","Gadhiya, Lahan-23, Siraha","N/A","N/A","Private","N/A","N/A"
"Morning Times Academy","Tapeswoy, Belaka-2, Udayapur","N/A","N/A","Private","N/A","N/A"
"Shiva Balak Little Blossom Academy Parsa","Parsagadhi, Parsa","N/A","N/A","Private","N/A","N/A"
"Basanta Basic School","Kaskikot Pokharichaur, Pokhara-24, Kaski","N/A","N/A","Public","N/A","N/A"
"Petwaniya Samudayik Basic School","Devdaha-2, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Manakamana Basic School","Moya, Dhakari-6, Achham","N/A","N/A","Public","N/A","N/A"
"Shanti Basic School Badala","Baddala, Chamunda Bindrasaini-6, Dailekh","N/A","N/A","Public","N/A","N/A"
"Shiva Basic School","Mudera, Palhinandan-2, Parasi","N/A","N/A","Public","N/A","N/A"
"Shree Gauri Shankar Secondary School","Timang, Chame-1, Manang","N/A","N/A","Public","2061 B.S.","9846162410, 9846280740"
"Nepal Rastriya Secondary School Murma","Murma, Chhayanath Rara-9, Mugu","N/A","N/A","Public","N/A","N/A"
"Palhi Bhagawati Basic School","Palhi, Palhinandan-4, Parasi","N/A","N/A","Public","N/A","N/A"
"Laliguransh English Boarding Primary School","Bupa, Diktel Rupakot Majhuwagadhi-14, Khotang","N/A","N/A","Public","N/A","N/A"
"Glen Buds Secondary School","Maharajgunj, Kantimarg-3, Kathmandu","N/A","National Examinations Board","Private","N/A","01-4415317, 4420491"
"Public Prathmik Vidhyalaya","Chauri Public Tol Kheruwa, Letang-6, Morang","N/A","N/A","Public","N/A","N/A"
"Jagadamba Basic School","Chujakharka, Mallarani-2, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Janaki Adharbhut School","Bhujat, Rampur-8, Palpa","N/A","N/A","Public","N/A","N/A"
"M S Educational Academy","Bhokraha, Kalyanpur-2, Siraha","N/A","N/A","Private","N/A","N/A"
"Pancha Kanya Basic School","Bahrabise-7, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Hansbahini Basic School","Bursha, Bhageshwor-5, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Janta Aa Vi Simaltoki","Simaltoki, Kalyanpur-9, Siraha","N/A","N/A","Public","N/A","N/A"
"Madrassa Islamiya Jamiya Arabiya Baharul Uloom","Khajura-7, Banke","N/A","N/A","Religious","N/A","N/A"
"Dalit Uthan Aa Vi Thenghi","Khatbetole Thenghi-9, Siraha","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School Lamidamar","Lekbeshi-10, Surkhet","N/A","N/A","Public","N/A","N/A"
"Sitala Devi English Boarding School","Arjunchaupari-1, Syangja","N/A","N/A","Private","N/A","N/A"
"Dilale Basic School, Jhakot","Chhayanath Rara-10, Mugu","N/A","N/A","Public","N/A","N/A"
"Mahendra Darshan Secondary School","Galyang-8, Syangja","N/A","CTEVT","N/A","N/A","N/A"
"Radha Krishna Basic School","Nayagaun, Panchkhal-10, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Naresh Basic School","Chidipani, Chhatradev-8, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Seti Devi Basic School","Thakle-3, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Deulang Khani Basic School","Deulangkhani, Bigu-2, Dolakha","N/A","N/A","Public","N/A","N/A"
"Durgapujan Basic School","Junichande-10, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Bal Shiksha Basic School","Pauwa, Bhumikasthan-5, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Jamiya Razaqiya Samshool Uloom","Chatri, Kalyanpur-6, Siraha","N/A","N/A","Religious","N/A","N/A"
"Bhanu Basic School","Ewa, Bhadaure, Aathrai-4, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Rajapur-4, Bardiya","N/A","N/A","Public","N/A","N/A"
"Garima English Boarding School","Majhitole Khyaku, Panauti-11, Kavrepalanchok","N/A","N/A","Private","N/A","N/A"
"Kanti Academy","Parwanipur-3, Bara","N/A","N/A","Private","N/A","N/A"
"Shree Pashupati Basic School","Kyampa, Bahradashi-7, Jhapa","N/A","N/A","Public","N/A","N/A"
"Surkhandi Basic School","Surkhandi, Rapti-11, Chitwan","N/A","N/A","Public","N/A","N/A"
"Bhumeshwori Basic School","Sunkhanitar, Marin-5, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Shree Basic School Betini","Betini, Manthali-6, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Shree Ranithumka Basic School","Putalibazar-13, Syangja","N/A","N/A","Public","N/A","N/A"
"Saubhagya Devi Basic School","Badarbhariya, Madhuwan-4, Bardiya","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Baluwadanda, Gajuri-7, Dhading","N/A","N/A","Public","N/A","N/A"
"Saraswati Niwas Basic School","Suryodaya-6, Ilam","N/A","N/A","Public","N/A","N/A"
"Dudh Pokhari Basic School","Shailung-1, Dolakha","N/A","N/A","Public","N/A","N/A"
"Dhrubatara English Boarding School","Chandanpur, Gadhawa-7, Dang","N/A","N/A","Private","N/A","N/A"
"Shree Raktamala Basic School","Janatabasti, Saraswati Tole, Itahari-5, Sunsari","N/A","N/A","Public","N/A","N/A"
"Janakalyan Basic School","Banchare, Kalinchowk-4, Dolakha","N/A","N/A","Public","N/A","N/A"
"New Moonlight English Boarding School","Chhedagad-2, Jajarkot","N/A","N/A","Private","N/A","N/A"
"Bal Jyoti English School","Kanepokhari, Morang","N/A","N/A","Private","N/A","N/A"
"Janata Basic School","Kolharwa, Gadhi-2, Sunsari","N/A","N/A","Public","N/A","N/A"
"Bindeshwari Basic School","Golanjor-1, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Pashupati Basic School","Gangabasti, Bardaghat-14, Parasi","N/A","N/A","Public","N/A","N/A"
"Bhumeshwor Basic School","Kuruwas, Temal-7, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Aathbis-7, Dailekh","N/A","N/A","Public","N/A","N/A"
"Sagarmatha Basic School","Damak-10, Jhapa","N/A","N/A","Public","N/A","N/A"
"Indra Dhanush Basic School","Pokhara, Nalgad-5, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Mukporong Himal Basic School","Bhijer, Shey Phoksundo-5, Dolpa","N/A","N/A","Public","N/A","N/A"
"Basic School Mahadewa","Mahadewa Portaha, Sakhuwanankarkatti-3, Siraha","N/A","N/A","Public","N/A","N/A"
"Himalaya Basic School","Kaula, Shivalaya-5, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Shree Kalika Secondary School","Chalal, Bethanchowk-4, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Singha Devi Basic School","Gairi Tole, Itahari-3, Sunsari","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School Sepung","Sepung-3, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Chyuridanda Secondary School","Churidanda, Likhu-1, Okhaldhunga","N/A","N/A","Public","2031 BS","9844393220"
"Adarsha Basic School","Kajani, Suryodaya-8, Ilam","N/A","N/A","Public","N/A","N/A"
"Nawajeewan Basic School","Yarsa, Naukunda-1, Rasuwa","N/A","N/A","Public","N/A","N/A"
"Mithila Public School","Hanumannagar Kankalini, Saptari","N/A","N/A","Private","N/A","N/A"
"Janata Ni Secondary School","Ratanpur, Hariharpurgadhi-2, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Saraswati Aa V, Parta Tole","Partatole, Kalaiya-27, Bara","N/A","N/A","Public","N/A","N/A"
"Manikhel Basic School","Manichour, Mahankal-2, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School, Kamchhada","Kamchhada, Sayal-3, Doti","N/A","N/A","Public","N/A","N/A"
"Deurali English Boarding School","Miklajung, Panchthar","N/A","N/A","Private","N/A","N/A"
"Kalika Basic School","Gairigau, Khamlalung, Aathrai-2, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Lumbini Wisdom English Boarding School","Kathautiya, Siddharthanagar-9, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Hardahani Mukta Kamaiya Bal Bidhya Mandir Basic School","Hardahani, Lamkichuha, Kailali","N/A","N/A","Public","N/A","N/A"
"Dada Bagh Basic School","Timichaur, Dilasaini-2, Baitadi","N/A","N/A","Public","N/A","N/A"
"Saraswoti Sikshya Sadan","Sukhad, Ghodaghodi-1, Kailali","N/A","N/A","Private","N/A","N/A"
"Janata Basic School Thaliyatar","Thaliyatar, Katari-8, Udayapur","N/A","N/A","Public","N/A","N/A"
"Mahendra Basic School Chiyabari","Chiyabari, Udayapurgadhi-7, Udayapur","N/A","N/A","Public","N/A","N/A"
"Jal Kanya Basic School","Chiurikharka, Gajuri-4, Dhading","N/A","N/A","Public","N/A","N/A"
"Bal Bikash Basic School","Lungri-2, Rolpa","N/A","N/A","Public","N/A","N/A"
"Basic School Kariyani","Khadiyani, Sakhuwanankarkatti-4, Siraha","N/A","N/A","Public","N/A","N/A"
"Danphepakha Basic School","Bhera, Surma-4, Bajhang","N/A","N/A","Public","N/A","N/A"
"Brahmacharini Basic School","Kwathandau-10, Bhaktapur","N/A","N/A","Public","N/A","N/A"
"Mahakali Secondary School","Tamling, Chhathar Jorpati-5, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Shree Sat Kanya Basic School","Jalbari, Balephi-6, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Durgajyoti English Boarding School","Mayadevi-3, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Shree Bihidin Basic School","Bihidin, Phalelung-7, Panchthar","N/A","N/A","Public","N/A","N/A"
"Barju Lake Ideal School","Barju-6, Sunsari","N/A","N/A","Private","N/A","N/A"
"Deurali Prabi","Sunkhani, Kalinchowk-5, Dolakha","N/A","N/A","Public","N/A","N/A"
"Basic School, Dangadhara","Gichchhe, Sunchhahari-2, Rolpa","N/A","N/A","Public","N/A","N/A"
"Indra Basic School Sunchaur","Sunchaur, Kalimati-4, Salyan","N/A","N/A","Public","N/A","N/A"
"Shree Saraswati Basic School, Jelbang","Jelwang, Tribeni-1, Rolpa","N/A","N/A","Public","N/A","N/A"
"Bal Kalyan Samudayik Basic School","Bhathirangi, Phatuwa Bijayapur-11, Rautahat","N/A","N/A","Public","N/A","N/A"
"Ganesh Pra . Vidyalaya Swamibas","Swamibas, Kalimati-7, Salyan","N/A","N/A","Public","N/A","N/A"
"Saraswati Shikshyalaya","Madangram, Devdaha-7, Rupandehi","N/A","N/A","Private","2061 BS","071-577621"
"Shree Prabhat Basic School","Bargachhi, Urlabari-9, Morang","N/A","N/A","Public","N/A","N/A"
"Mahavai Basic School","Kanchivada, Tilagufa-7, Kalikot","N/A","N/A","Public","N/A","N/A"
"Shree Pragatisil Basic School","Bamnebada, Khandachakra-9, Kalikot","N/A","N/A","Public","N/A","N/A"
"Sahid Dharma Bhakta Basic School","Namdo, Shey Phoksundo-4, Dolpa","N/A","N/A","Public","N/A","N/A"
"Ganatanta Basic School","Jair, Sarkegad-7, Humla","N/A","N/A","Public","N/A","N/A"
"Arabiya Ahale Sunnat Madrassa","Yasodhara-7, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Manuka Basic School","Makpa Chaintar, Aiselukharka-7, Khotang","N/A","N/A","Public","N/A","N/A"
"Jivan Jyoti Basic Level School","Mahale, Chhatradev-6, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Shree Deurali Basic School","Aarchani, Kushe-4, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Belaspur, Palhinandan-3, Parasi","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic Leve School","Chitre, Maiwakhola-1, Taplejung","N/A","N/A","Public","N/A","N/A"
"Blossom Co-Ed Academy","Golfutar, Budhanilakantha-8, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Ekta Basic School","Puspanjali Tol, Belbari-10, Morang","N/A","N/A","Public","N/A","N/A"
"Madrassa Khadija Tul Kubra","Jhandanagar, Krishnanagar-2, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Devchuli Basic School","Bulingtar-4, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Buddha Academy","Lalbandi, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Saraswati Bidya Mandir English Boarding School","Belbari-3, Morang","N/A","N/A","Private","N/A","N/A"
"Dular Devi Mai Basic School","Bachanpurwa, Kolhabi-9, Bara","N/A","N/A","Public","N/A","N/A"
"Dogada Bhumiraj Basic School","Rim, Dogadakedar-1, Baitadi","N/A","N/A","Public","N/A","N/A"
"Home Town English Bording School","Dogadakedar, Baitadi","N/A","N/A","Public","N/A","N/A"
"Mhanemandir Basic School","Dudhauli-6, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Sarlahi Creative Education English Boarding School","Parsa, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Firdos Kanya Vidyalaya","Maharajgunj-9, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Janata Basic School","Sandhikharka-8, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Buddha Basic School","Chotrok, Yangwarak-3, Panchthar","N/A","N/A","Public","N/A","N/A"
"Buddhamaya English School","Lumbini Sanskritik, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Mechi English Bording School","Gotametar, Mai-6, Ilam","N/A","N/A","Private","N/A","N/A"
"Nepal Rastiya Basic School Karmohana","Karmohana, Janaki-3, Banke","N/A","N/A","Public","N/A","N/A"
"Janata Secondary School, Itahara","Itahara, Ratuwamai-2, Morang","N/A","N/A","Public","N/A","N/A"
"Shree Ganesh Basic School","Synkri, Jajrkot, Kushe-1, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Suryodaya Basic School, Gahatera","Bangalachuli-4, Dang","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Kunigada, Turmakhad-6, Achham","N/A","N/A","Public","N/A","N/A"
"Little Flower School","Madhyabindu, Nawalpur","N/A","N/A","Private","N/A","N/A"
"Shree Maya Devi English School","Lumbini Sanskritik, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Madarsha Ainul Olum","Khutauna, Malangwa-6, Sarlahi","N/A","N/A","Religious","N/A","N/A"
"Shree Phundruwa Basic School","Phundruwa, Sirijangha-4, Taplejung","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School, Sahodawa","Mushari Tole, Pipara-5, Mahottari","N/A","N/A","Public","N/A","N/A"
"Singhabahini Basic School","Simle, Phedap-1, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Mana Samudaik Basic School","Gora, Sinja-5, Jumla","N/A","N/A","Public","N/A","N/A"
"Itty Bitty Montessori School","Rajbiraj, Saptari","N/A","N/A","Private","N/A","N/A"
"Jana Jyoti Secondary School","Baglung Pani, Kwholasothar-1, Lamjung","N/A","N/A","Public","N/A","N/A"
"Ritung Secondary School","Kuinemangale, Raghuganga-8, Myagdi","N/A","N/A","Public","N/A","N/A"
"Shree Madan Ashrit Secondary School","Dandakateri, Mahashila-6, Parbat","N/A","N/A","Public","N/A","N/A"
"Madrassa Azizia Nizamul Uloom","Susta-3, Parasi","N/A","N/A","Religious","N/A","N/A"
"Nanda Mata Basic School","Chaphagaun, Ramaroshan-7, Achham","N/A","N/A","Public","N/A","N/A"
"Pancha Koshi Basic School","Palta, Chamunda Bindrasaini-1, Dailekh","N/A","N/A","Public","N/A","N/A"
"Bhairab Basic School","Chadung, Dullu-13, Dailekh","N/A","N/A","Public","N/A","N/A"
"Mount Vision Shiksha Academy","Satipipal-7, Gorkha","N/A","N/A","Private","N/A","N/A"
"Ram Gurulkul Sapahi","Banigama, Lakshminiya-3, Dhanusha","N/A","N/A","Public","N/A","N/A"
